,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
246,1,医药生物,化学制药,原料药,603351,威尔药业,0.19466666666666665,0.25133333333333335
247,1,医药生物,化学制药,原料药,300381,溢多利,0.19133333333333333,0.5046666666666667
248,1,医药生物,化学制药,原料药,830946,森萱医药,0.18666666666666668,0.03666666666666667
249,0,医药生物,化学制药,原料药,001367,海森药业,0.162,0.032
250,1,医药生物,化学制药,原料药,300583,赛托生物,0.15133333333333332,0.15133333333333332
251,1,医药生物,化学制药,原料药,002365,永安药业,0.13533333333333333,0.31666666666666665
252,0,医药生物,化学制药,原料药,301281,科源制药,0.12933333333333333,0.11933333333333333
253,1,医药生物,化学制药,原料药,000952,广济药业,0.11466666666666667,0.398
254,0,医药生物,化学制药,原料药,605177,东亚药业,0.112,0.216
255,0,医药生物,化学制药,原料药,300966,共同药业,0.10333333333333333,0.33
256,0,医药生物,化学制药,原料药,002817,黄山胶囊,0.10066666666666667,0.20733333333333334
257,0,医药生物,化学制药,原料药,301065,本立科技,0.07933333333333334,0.4226666666666667
258,1,医药生物,化学制药,原料药,603079,圣达生物,0.07133333333333333,0.5153333333333333
259,0,医药生物,化学制药,原料药,000953,河化股份,0.059333333333333335,0.12933333333333333
260,0,医药生物,化学制药,原料药,833230,欧康医药,0.016,0.15
261,0,医药生物,化学制药,原料药,430478,峆一药业,0.015333333333333332,0.07266666666666667
262,0,医药生物,化学制药,原料药,873167,新赣江,0.012666666666666666,0.23666666666666666
263,1,医药生物,医疗器械,医疗耗材,300003,乐普医疗,0.9066666666666666,0.30266666666666664
264,1,医药生物,医疗器械,医疗耗材,300595,欧普康视,0.8253333333333334,0.9233333333333333
265,1,医药生物,医疗器械,医疗耗材,688617,惠泰医疗,0.8053333333333333,0.15733333333333333
266,1,医药生物,医疗器械,医疗耗材,688050,爱博医疗,0.7746666666666666,0.43933333333333335
267,1,医药生物,医疗器械,医疗耗材,300529,健帆生物,0.7613333333333333,0.34933333333333333
268,1,医药生物,医疗器械,医疗耗材,600529,山东药玻,0.7393333333333333,0.2773333333333333
269,1,医药生物,医疗器械,医疗耗材,688161,威高骨科,0.7366666666666667,0.10266666666666667
270,1,医药生物,医疗器械,医疗耗材,688029,南微医学,0.7,0.18666666666666668
271,1,医药生物,医疗器械,医疗耗材,300677,英科医疗,0.68,0.3273333333333333
272,1,医药生物,医疗器械,医疗耗材,688366,昊海生科,0.674,0.6266666666666667
273,0,医药生物,医疗器械,医疗耗材,688198,佰仁医疗,0.6673333333333333,0.136
274,1,医药生物,医疗器械,医疗耗材,002901,大博医疗,0.6446666666666667,0.076
275,1,医药生物,医疗器械,医疗耗材,688236,春立医疗,0.6406666666666667,0.244
276,1,医药生物,医疗器械,医疗耗材,688016,心脉医疗,0.6073333333333333,0.3393333333333333
277,1,医药生物,医疗器械,医疗耗材,301087,可孚医疗,0.5793333333333334,0.18933333333333333
278,0,医药生物,医疗器械,医疗耗材,688351,微电生理-U,0.5473333333333333,0.16333333333333333
279,1,医药生物,医疗器械,医疗耗材,603301,振德医疗,0.52,0.29133333333333333
280,0,医药生物,医疗器械,医疗耗材,688581,安杰思,0.4726666666666667,0.856
281,1,医药生物,医疗器械,医疗耗材,002382,蓝帆医疗,0.468,0.14133333333333334
282,1,医药生物,医疗器械,医疗耗材,688151,华强科技,0.44733333333333336,0.4766666666666667
283,1,医药生物,医疗器械,医疗耗材,688085,三友医疗,0.44066666666666665,0.43866666666666665
284,1,医药生物,医疗器械,医疗耗材,002950,奥美医疗,0.432,0.284
285,0,医药生物,医疗器械,医疗耗材,605369,拱东医疗,0.4073333333333333,0.826
286,0,医药生物,医疗器械,医疗耗材,300653,正海生物,0.4026666666666667,0.296
